Stream,Course,Job,Skills Required,Duration,Post Graduation
Science,MBBS,Pharmacist,"Innovation, Creativity in Solutions",5 years,M.Pharm
Science,Nursing,Pharmacist,"Innovation, Creativity in Solutions",2 years,MCA
Science,Engineering,Lab Technician,"Data Analysis, Laboratory Techniques",3 years,M.Sc
Science,MBBS,Pharmacist,"Technical Skills, Engineering Fundamentals",3 years,MS
Science,Engineering,Data Scientist,"Innovation, Creativity in Solutions",2 years,MD
Science,B.Pharm,Data Scientist,"Problem-Solving, Analytical Thinking",5 years,MS
Science,B.Sc,Lab Technician,"Research, Scientific Knowledge",4 years,Biotechnology PG
Science,B.Pharm,Doctor,"Innovation, Creativity in Solutions",5 years,MD
Science,Engineering,Pharmacist,"Technical Skills, Engineering Fundamentals",4 years,MS
Science,B.Tech,Doctor,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Pharm
Science,Engineering,Lab Technician,"Problem-Solving, Analytical Thinking",4 years,MCA
Science,Microbiology,Data Scientist,"Problem-Solving, Analytical Thinking",3 years,Biotechnology PG
Science,Engineering,Lab Technician,"Technical Skills, Engineering Fundamentals",5 years,Biotechnology PG
Science,B.Sc,Pharmacist,"Hands-on Medical Skills, Patient Care Expertise",3 years,M.Sc
Science,B.Tech,Lab Technician,"Hands-on Medical Skills, Patient Care Expertise",5 years,M.Tech
Science,Nursing,Data Scientist,"Problem-Solving, Analytical Thinking",3 years,M.Tech
Science,B.Sc,Data Scientist,"Technical Skills, Engineering Fundamentals",4 years,MS
Science,Engineering,Engineer,"Hands-on Medical Skills, Patient Care Expertise",4 years,M.Tech
