Job Title,Department/Ministry,Qualification Required,Age Limit,Experience Required,Job Location,Salary Range,Application Deadline,Selection Process,Career Path
Lab Assistant,Ministry of Defense,B.Sc,24-36,2 years,Patna,37997-83047 INR,21-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Nurse,Ministry of Home Affairs,B.Tech,27-40,0 years,Chandigarh,49201-86417 INR,27-10-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
Police Sub Inspector,Ministry of Environment,Bachelor's Degree,22-38,4 years,Bhopal,32585-86317 INR,21-09-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Junior Engineer,Ministry of Home Affairs,12th Pass,23-37,0 years,Chandigarh,41544-82504 INR,01-10-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Lecturer,Ministry of Agriculture,B.Tech,23-39,5 years,Kolkata,44065-68966 INR,24-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Junior Assistant,Ministry of Railways,B.Tech,29-35,1 years,Hyderabad,42045-69578 INR,04-10-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Lab Assistant,Ministry of Health,12th Pass,26-37,5 years,Patna,32548-79227 INR,14-10-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Assistant Engineer,Ministry of Railways,MBBS,21-40,5 years,Patna,41681-70656 INR,17-11-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Police Sub Inspector,Ministry of Science and Technology,Master's Degree,29-39,3 years,Kolkata,49739-60328 INR,11-11-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Audit Officer,Ministry of Defense,12th Pass,22-39,5 years,Chennai,30048-83961 INR,27-11-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Junior Translator,Ministry of Science and Technology,10th Pass,29-40,4 years,Ranchi,30726-88529 INR,23-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Village Development Officer,Ministry of Defense,Diploma,24-35,2 years,Mumbai,37176-74641 INR,10-09-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Defense Officer,Ministry of Rural Development,M.Tech,26-38,3 years,Chandigarh,35032-89619 INR,09-10-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Pharmacist,Ministry of Education,MBBS,23-38,3 years,Pune,34897-69684 INR,14-09-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Agricultural Officer,Ministry of Home Affairs,Bachelor's Degree,21-36,1 years,Bhopal,34021-68282 INR,27-10-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Village Development Officer,Ministry of Defense,M.Tech,28-40,2 years,Ranchi,44875-85790 INR,07-11-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Forest Officer,Ministry of Agriculture,B.Tech,27-36,0 years,New Delhi,40520-76071 INR,19-10-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Pharmacist,Ministry of Railways,MBBS,27-38,1 years,Bhopal,44860-68727 INR,10-10-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
UPSC NDA,Ministry of Health,PhD,28-40,2 years,Ahmedabad,33957-69711 INR,24-10-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Lecturer,Ministry of Defense,B.Com,21-38,1 years,Bangalore,30775-66521 INR,11-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Assistant Professor,Ministry of Home Affairs,MBBS,26-39,0 years,Chandigarh,48348-86391 INR,19-09-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Police Sub Inspector,Ministry of Finance,Master's Degree,28-38,3 years,Bhopal,34062-60684 INR,11-11-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Senior Resident,Ministry of Agriculture,B.Sc,29-38,5 years,Kolkata,30094-79550 INR,28-10-2024,"Skill Test, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Forest Officer,Ministry of Health,Diploma,24-37,0 years,Kolkata,41274-83057 INR,08-09-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Public Prosecutor,Ministry of Defense,12th Pass,29-36,4 years,Jaipur,37449-78543 INR,25-11-2024,"Written Exam, Document Verification",Assistant Professor > Associate Professor > Professor > Head of Department
Police Sub Inspector,Ministry of Science and Technology,PhD,29-36,1 years,Chennai,35160-84974 INR,17-10-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Scientist B,Ministry of Railways,PhD,26-37,3 years,Bangalore,41708-76409 INR,13-09-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
IAS Officer,Ministry of Agriculture,Diploma,29-35,1 years,Pune,38532-64318 INR,12-09-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Forest Officer,Ministry of Home Affairs,B.Tech,21-35,2 years,Mumbai,44385-84620 INR,14-11-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Fireman,Ministry of Environment,12th Pass,30-36,1 years,New Delhi,40729-71275 INR,09-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Data Entry Operator,Ministry of Home Affairs,MBBS,28-36,0 years,New Delhi,37485-68081 INR,18-09-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
SSC CGL Officer,Ministry of Railways,MBBS,21-40,3 years,Ahmedabad,42168-77494 INR,02-10-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Postman,Ministry of Health,B.Tech,24-37,2 years,Patna,41935-83244 INR,10-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Mechanic,Ministry of Defense,PhD,29-35,3 years,Kolkata,45796-89434 INR,08-10-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Audit Officer,Ministry of Home Affairs,12th Pass,24-39,1 years,Ranchi,35834-76685 INR,22-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Village Development Officer,Ministry of Environment,B.Com,25-37,3 years,Bhopal,45092-75308 INR,14-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Assistant Professor,Ministry of Environment,B.Sc,27-38,0 years,Jaipur,44202-84996 INR,14-09-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Gram Sevak,Ministry of Finance,Bachelor's Degree,26-39,4 years,Kolkata,49731-65617 INR,11-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
Stenographer,Ministry of Environment,B.Sc,26-35,5 years,Jaipur,47295-61735 INR,11-11-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Postman,Ministry of Agriculture,12th Pass,22-38,5 years,Bangalore,43621-83017 INR,17-09-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
IFS Officer,Ministry of Education,B.Tech,30-35,2 years,Bangalore,48589-60974 INR,03-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Junior Engineer,Ministry of Environment,B.Tech,30-37,1 years,Bangalore,30691-79903 INR,20-11-2024,"Skill Test, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Village Development Officer,Ministry of Rural Development,M.Sc,29-37,0 years,Chandigarh,45517-77641 INR,20-09-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Medical Officer,Ministry of Science and Technology,10th Pass,28-38,1 years,Bhopal,35920-72576 INR,14-09-2024,"Skill Test, Interview",Trainee > Assistant Officer > Officer > Senior Officer
SSC CGL Officer,Ministry of Home Affairs,B.Com,26-36,5 years,Mumbai,31608-69891 INR,20-11-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Senior Resident,Ministry of Defense,Master's Degree,26-40,1 years,New Delhi,33809-77362 INR,17-10-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Police Sub Inspector,Ministry of Railways,Bachelor's Degree,25-35,1 years,Chandigarh,49405-63445 INR,16-09-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Scientist B,Ministry of Rural Development,Master's Degree,30-40,2 years,Kolkata,42275-70393 INR,24-09-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
UPSC NDA,Ministry of Health,B.Com,23-35,4 years,Bangalore,36166-89085 INR,17-11-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Lecturer,Ministry of Agriculture,MBBS,27-37,0 years,Kolkata,49626-60817 INR,25-09-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
IAS Officer,Ministry of Education,MBBS,28-38,0 years,Lucknow,36537-75208 INR,12-11-2024,"Written Exam, Document Verification",Entry Level > Mid Level > Regional Head > Zonal Head
Public Prosecutor,Ministry of Defense,PhD,29-35,1 years,Patna,44914-64407 INR,17-10-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Veterinary Doctor,Ministry of Education,Diploma,21-37,5 years,Hyderabad,45191-60930 INR,20-11-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Audit Officer,Ministry of Defense,B.Com,28-37,1 years,Lucknow,38127-62254 INR,18-11-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Junior Engineer,Ministry of Defense,10th Pass,23-39,0 years,Chennai,45221-72933 INR,30-09-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Veterinary Doctor,Ministry of Home Affairs,Bachelor's Degree,29-39,5 years,Mumbai,37957-74117 INR,09-09-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Stenographer,Ministry of Home Affairs,Diploma,26-35,5 years,Chandigarh,39912-64667 INR,17-10-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Lab Assistant,Ministry of Agriculture,M.Sc,21-40,0 years,Jaipur,49341-65187 INR,05-10-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
Public Prosecutor,Ministry of Agriculture,10th Pass,22-40,2 years,Chandigarh,36857-67458 INR,09-11-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Veterinary Doctor,Ministry of Agriculture,PhD,25-38,5 years,Lucknow,37168-64574 INR,18-10-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Data Entry Operator,Ministry of Finance,M.Sc,27-40,4 years,Ahmedabad,40085-63846 INR,07-11-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Audit Officer,Ministry of Agriculture,B.Sc,23-39,3 years,Hyderabad,35332-78953 INR,06-10-2024,"Physical Test, Written Exam",Probation > Confirmation > Promotion > Senior Position
Driver,Ministry of Agriculture,MBBS,28-38,5 years,Bangalore,34287-68774 INR,08-09-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Stenographer,Ministry of Finance,M.Tech,25-37,5 years,Pune,38366-78327 INR,11-11-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Junior Translator,Ministry of Defense,Bachelor's Degree,23-36,4 years,Guwahati,44015-65151 INR,28-10-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Medical Officer,Ministry of Home Affairs,Master's Degree,28-40,1 years,Kolkata,45397-73068 INR,13-09-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
IPS Officer,Ministry of Defense,MBBS,23-35,3 years,Chandigarh,48942-86535 INR,25-10-2024,"Skill Test, Interview",Internship > Junior Position > Senior Position > Management
Clerk,Ministry of Rural Development,Diploma,22-40,1 years,Pune,40954-85334 INR,26-10-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
UPSC NDA,Ministry of Home Affairs,PhD,24-38,0 years,Bhopal,31570-86432 INR,17-09-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Bank PO,Ministry of Railways,Bachelor's Degree,23-38,4 years,Patna,35973-63134 INR,16-11-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Teacher,Ministry of Education,B.Tech,21-37,3 years,Patna,39013-83497 INR,24-10-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Scientist B,Ministry of Railways,M.Tech,25-39,1 years,Mumbai,42338-73932 INR,17-09-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Electrician,Ministry of Rural Development,B.Sc,23-37,4 years,Bangalore,37699-76699 INR,10-09-2024,"Skill Test, Interview",Probation > Confirmation > Promotion > Senior Position
Fireman,Ministry of Finance,Bachelor's Degree,25-37,4 years,Chennai,42814-82495 INR,10-09-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
UPSC NDA,Ministry of Environment,B.Sc,30-40,0 years,New Delhi,35085-64279 INR,21-11-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
UPSC NDA,Ministry of Rural Development,B.Sc,28-39,1 years,Ahmedabad,45889-62829 INR,09-10-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Scientist B,Ministry of Rural Development,Bachelor's Degree,29-38,1 years,Hyderabad,44358-61567 INR,28-10-2024,"Physical Test, Medical Test",Assistant Professor > Associate Professor > Professor > Head of Department
Senior Resident,Ministry of Home Affairs,Bachelor's Degree,21-35,4 years,Pune,38429-89586 INR,19-11-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Forest Officer,Ministry of Education,M.Tech,24-38,2 years,Pune,37159-87606 INR,30-09-2024,"Written Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Librarian,Ministry of Education,10th Pass,25-38,0 years,Bangalore,33146-79558 INR,04-10-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
UPSC NDA,Ministry of Finance,PhD,28-40,4 years,Lucknow,42126-72809 INR,19-10-2024,"Physical Test, Medical Test",Internship > Junior Position > Senior Position > Management
Driver,Ministry of Education,Diploma,26-35,5 years,Bangalore,48502-65426 INR,25-11-2024,"Written Exam, Document Verification",Trainee > Assistant Officer > Officer > Senior Officer
Veterinary Doctor,Ministry of Finance,10th Pass,30-39,0 years,Jaipur,49540-71347 INR,10-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
Veterinary Doctor,Ministry of Agriculture,Diploma,21-38,3 years,Chennai,32361-83747 INR,06-10-2024,"Written Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Public Prosecutor,Ministry of Railways,MBBS,26-38,1 years,Kolkata,46030-85930 INR,17-09-2024,"Physical Test, Written Exam",Assistant Professor > Associate Professor > Professor > Head of Department
Gram Sevak,Ministry of Defense,B.Tech,25-39,2 years,Chandigarh,40297-86963 INR,21-10-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
IRS Officer,Ministry of Railways,PhD,29-36,0 years,Bhopal,31415-80123 INR,12-10-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Accountant,Ministry of Education,PhD,29-38,1 years,Guwahati,32634-66130 INR,17-11-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Clerk,Ministry of Railways,10th Pass,21-37,1 years,Lucknow,47982-67457 INR,18-09-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Librarian,Ministry of Agriculture,10th Pass,28-39,2 years,Lucknow,39040-60937 INR,10-09-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Medical Officer,Ministry of Rural Development,PhD,29-35,1 years,Lucknow,32415-65214 INR,28-09-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Assistant Professor,Ministry of Agriculture,M.Tech,22-40,3 years,Jaipur,40209-83484 INR,18-09-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Public Prosecutor,Ministry of Education,PhD,29-37,0 years,Guwahati,44197-78451 INR,31-10-2024,"Written Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
IPS Officer,Ministry of Environment,B.Com,25-37,4 years,Pune,31038-78069 INR,30-10-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Mechanic,Ministry of Science and Technology,PhD,21-35,1 years,Ahmedabad,32603-62105 INR,20-11-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Audit Officer,Ministry of Home Affairs,10th Pass,29-37,1 years,Chandigarh,46753-71537 INR,26-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Engineer,Ministry of Science and Technology,MBBS,25-39,0 years,Pune,37858-65255 INR,12-10-2024,"Physical Test, Medical Test",Trainee > Assistant Officer > Officer > Senior Officer
Scientist B,Ministry of Environment,M.Sc,25-40,5 years,New Delhi,32395-69736 INR,27-09-2024,"Written Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Fireman,Ministry of Defense,12th Pass,26-39,0 years,Hyderabad,46096-82602 INR,06-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
IPS Officer,Ministry of Home Affairs,B.Tech,25-36,1 years,Lucknow,47507-68434 INR,18-10-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Assistant Engineer,Ministry of Environment,10th Pass,30-39,2 years,Ranchi,33115-67139 INR,12-10-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
Scientist B,Ministry of Defense,M.Sc,21-35,2 years,Lucknow,31641-80123 INR,30-09-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Village Development Officer,Ministry of Science and Technology,B.Tech,21-40,1 years,Jaipur,42552-77739 INR,29-10-2024,"Skill Test, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Junior Engineer,Ministry of Education,B.Sc,26-39,1 years,Guwahati,41056-78435 INR,12-10-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
Medical Officer,Ministry of Defense,Master's Degree,28-36,3 years,Bhopal,48542-81021 INR,30-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Commandant,Ministry of Science and Technology,Diploma,28-35,2 years,Ahmedabad,41345-68331 INR,09-09-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Nurse,Ministry of Home Affairs,10th Pass,28-38,3 years,Jaipur,45184-72253 INR,21-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Accountant,Ministry of Science and Technology,PhD,25-38,5 years,Pune,34234-75209 INR,17-09-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Mechanic,Ministry of Rural Development,M.Sc,29-40,1 years,Hyderabad,36299-89901 INR,29-09-2024,"Written Exam, Document Verification",Internship > Junior Position > Senior Position > Management
Accountant,Ministry of Defense,M.Sc,21-39,2 years,Chandigarh,49087-80684 INR,27-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Assistant Commandant,Ministry of Environment,B.Tech,29-37,3 years,Ahmedabad,34626-69140 INR,28-10-2024,"Written Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Accountant,Ministry of Home Affairs,Master's Degree,29-38,5 years,Mumbai,41369-73879 INR,24-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Stenographer,Ministry of Railways,12th Pass,25-37,1 years,Patna,40311-60481 INR,20-11-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
SSC CGL Officer,Ministry of Education,Bachelor's Degree,25-35,4 years,Ahmedabad,36745-66005 INR,04-10-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
Electrician,Ministry of Education,10th Pass,24-40,1 years,Guwahati,37721-84246 INR,20-11-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Mechanic,Ministry of Rural Development,Bachelor's Degree,24-37,3 years,Mumbai,42895-78621 INR,10-10-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Electrician,Ministry of Health,B.Tech,27-39,5 years,Bhopal,38998-78141 INR,18-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
IRS Officer,Ministry of Defense,10th Pass,29-35,4 years,Mumbai,41367-82581 INR,23-09-2024,"Written Exam, Interview",Internship > Junior Position > Senior Position > Management
Fireman,Ministry of Environment,M.Sc,22-40,3 years,Mumbai,37412-87923 INR,14-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
IAS Officer,Ministry of Environment,Master's Degree,27-38,2 years,Kolkata,43669-61401 INR,06-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Team Lead > Deputy Director > Director
Accountant,Ministry of Education,B.Tech,22-39,2 years,Hyderabad,34207-83641 INR,01-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Scientist B,Ministry of Environment,12th Pass,29-40,0 years,New Delhi,40739-82418 INR,18-09-2024,"Physical Test, Written Exam",Trainee > Assistant Officer > Officer > Senior Officer
Nurse,Ministry of Education,B.Tech,22-40,4 years,Bangalore,39082-83888 INR,19-09-2024,"Skill Test, Interview",Entry Level > Mid Level > Senior Level > Department Head
Scientist B,Ministry of Science and Technology,10th Pass,30-36,0 years,Ahmedabad,41191-84185 INR,19-11-2024,"Written Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Driver,Ministry of Agriculture,B.Tech,25-37,2 years,Chandigarh,38538-70592 INR,26-11-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
IAS Officer,Ministry of Agriculture,Bachelor's Degree,24-38,2 years,Bangalore,36781-76061 INR,09-11-2024,"Written Exam, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Librarian,Ministry of Science and Technology,Master's Degree,27-38,2 years,Lucknow,44566-65929 INR,12-10-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
SSC CGL Officer,Ministry of Education,12th Pass,21-38,4 years,Guwahati,46595-71495 INR,24-09-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Electrician,Ministry of Science and Technology,Master's Degree,23-40,3 years,Mumbai,32013-83629 INR,27-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Defense Officer,Ministry of Environment,M.Sc,26-38,5 years,Hyderabad,48980-68715 INR,27-11-2024,"Preliminary Exam, Main Exam, Interview",Internship > Junior Position > Senior Position > Management
Teacher,Ministry of Defense,10th Pass,26-37,2 years,Patna,48299-78976 INR,03-11-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Lecturer,Ministry of Health,M.Tech,27-40,5 years,Patna,48805-87374 INR,09-10-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Senior Level > Department Head
Pharmacist,Ministry of Science and Technology,M.Tech,24-40,1 years,Chennai,49840-80980 INR,30-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Driver,Ministry of Education,M.Tech,29-40,5 years,Lucknow,36311-76517 INR,01-11-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
Electrician,Ministry of Home Affairs,12th Pass,28-38,3 years,Mumbai,49140-87349 INR,23-11-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Junior Translator,Ministry of Science and Technology,Diploma,26-37,4 years,Bhopal,32759-87964 INR,16-10-2024,"Preliminary Exam, Main Exam, Interview",Assistant Professor > Associate Professor > Professor > Head of Department
Pharmacist,Ministry of Health,B.Tech,27-40,0 years,Ahmedabad,39440-83019 INR,10-09-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Gram Sevak,Ministry of Science and Technology,B.Tech,29-39,5 years,Guwahati,37375-62327 INR,06-11-2024,"Written Exam, Document Verification",Junior Engineer > Senior Engineer > Chief Engineer
IAS Officer,Ministry of Agriculture,MBBS,22-39,5 years,Chennai,35574-61997 INR,03-10-2024,"Preliminary Exam, Main Exam, Interview",Entry Level > Mid Level > Senior Level > Department Head
Mechanic,Ministry of Railways,M.Tech,21-36,2 years,Patna,31103-67461 INR,13-09-2024,"Preliminary Exam, Main Exam, Interview",Junior Engineer > Senior Engineer > Chief Engineer
Electrician,Ministry of Science and Technology,Master's Degree,25-37,0 years,Kolkata,36311-73451 INR,09-11-2024,"Physical Test, Medical Test",Entry Level > Team Lead > Deputy Director > Director
Police Sub Inspector,Ministry of Health,Diploma,22-35,0 years,Guwahati,30364-65852 INR,02-10-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Public Prosecutor,Ministry of Rural Development,B.Com,24-40,4 years,Chennai,37376-63732 INR,08-09-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Senior Level > Department Head
Village Development Officer,Ministry of Home Affairs,PhD,23-37,5 years,New Delhi,39048-89998 INR,11-11-2024,"Written Exam, Document Verification",Entry Level > Team Lead > Deputy Director > Director
Electrician,Ministry of Rural Development,12th Pass,29-36,3 years,Hyderabad,39294-86837 INR,11-09-2024,"Preliminary Exam, Main Exam, Interview",Probation > Confirmation > Promotion > Senior Position
Gram Sevak,Ministry of Defense,Bachelor's Degree,30-38,0 years,Chandigarh,41294-73755 INR,25-11-2024,"Physical Test, Medical Test",Entry Level > Mid Level > Regional Head > Zonal Head
Junior Translator,Ministry of Rural Development,B.Sc,25-37,1 years,New Delhi,37126-87324 INR,18-10-2024,"Skill Test, Interview",Entry Level > Mid Level > Regional Head > Zonal Head
Forest Officer,Ministry of Health,B.Sc,24-35,5 years,Mumbai,36785-65460 INR,13-09-2024,"Physical Test, Written Exam",Internship > Junior Position > Senior Position > Management
UPSC NDA,Ministry of Home Affairs,PhD,25-36,5 years,Mumbai,39499-70775 INR,04-11-2024,"Physical Test, Written Exam",Junior Engineer > Senior Engineer > Chief Engineer
Police Sub Inspector,Ministry of Environment,Master's Degree,27-36,3 years,Lucknow,45233-77197 INR,30-10-2024,"Physical Test, Written Exam",Entry Level > Mid Level > Regional Head > Zonal Head
Assistant Professor,Ministry of Environment,M.Tech,22-35,3 years,Lucknow,46744-63610 INR,15-10-2024,"Preliminary Exam, Main Exam, Interview",Trainee > Assistant Officer > Officer > Senior Officer
Postman,Ministry of Defense,M.Sc,30-39,3 years,Mumbai,35983-82334 INR,31-10-2024,"Written Exam, Document Verification",Probation > Confirmation > Promotion > Senior Position
Defense Officer,Ministry of Home Affairs,M.Tech,29-40,1 years,Jaipur,36341-69608 INR,23-11-2024,"Physical Test, Medical Test",Probation > Confirmation > Promotion > Senior Position
Pharmacist,Ministry of Railways,M.Sc,27-40,2 years,Guwahati,34481-89295 INR,13-10-2024,"Physical Test, Written Exam",Entry Level > Team Lead > Deputy Director > Director
Village Development Officer,Ministry of Home Affairs,Diploma,23-39,5 years,Chandigarh,40597-88344 INR,15-11-2024,"Skill Test, Interview",Entry Level > Team Lead > Deputy Director > Director
